SKU,Name,Brand,Category,Series,Poles,RatedCurrent_A,Capacity_kVAr,BreakingCapacity_kA,LeakageCurrent_mA,Width_mm,Height_mm,Depth_mm,Pitch_mm,Price_VND
LA63N 1P 6A,LA63N 1P 6A 6kA,LS (standard),MCB,LA63N,1,6,,6,,18,86,69,9,115000
LA63N 1P 10A,LA63N 1P 10A 6kA,LS (standard),MCB,LA63N,1,10,,6,,18,86,69,9,115000
LA63N 1P 16A,LA63N 1P 16A 6kA,LS (standard),MCB,LA63N,1,16,,6,,18,86,69,9,115000
LA63N 1P 20A,LA63N 1P 20A 6kA,LS (standard),MCB,LA63N,1,20,,6,,18,86,69,9,115000
LA63N 1P 25A,LA63N 1P 25A 6kA,LS (standard),MCB,LA63N,1,25,,6,,18,86,69,9,115000
LA63N 1P 32A,LA63N 1P 32A 6kA,LS (standard),MCB,LA63N,1,32,,6,,18,86,69,9,115000
LA63N 1P 40A,LA63N 1P 40A 6kA,LS (standard),MCB,LA63N,1,40,,6,,18,86,69,9,121000
LA63N 1P 50A,LA63N 1P 50A 6kA,LS (standard),MCB,LA63N,1,50,,6,,18,86,69,18,121000
LA63N 1P 63A,LA63N 1P 63A 6kA,LS (standard),MCB,LA63N,1,63,,6,,18,86,69,9,121000
LA63N 2P 6A,LA63N 2P 6A 6kA,LS (standard),MCB,LA63N,2,6,,6,,36,86,69,18,254000
LA63N 2P 10A,LA63N 2P 10A 6kA,LS (standard),MCB,LA63N,2,10,,6,,36,86,69,18,254000
LA63N 2P 16A,LA63N 2P 16A 6kA,LS (standard),MCB,LA63N,2,16,,6,,36,86,69,18,254000
LA63N 2P 20A,LA63N 2P 20A 6kA,LS (standard),MCB,LA63N,2,20,,6,,36,86,69,18,254000
LA63N 2P 25A,LA63N 2P 25A 6kA,LS (standard),MCB,LA63N,2,25,,6,,36,86,69,18,254000
LA63N 2P 32A,LA63N 2P 32A 6kA,LS (standard),MCB,LA63N,2,32,,6,,36,86,69,18,254000
LA63N 2P 40A,LA63N 2P 40A 6kA,LS (standard),MCB,LA63N,2,40,,6,,36,86,69,18,260000
LA63N 2P 50A,LA63N 2P 50A 6kA,LS (standard),MCB,LA63N,2,50,,6,,36,86,69,18,260000
LA63N 2P 63A,LA63N 2P 63A 6kA,LS (standard),MCB,LA63N,2,63,,6,,36,86,69,18,260000
LA63N 3P 6A,LA63N 3P 6A 6kA,LS (standard),MCB,LA63N,3,6,,6,,54,86,69,18,406000
LA63N 3P 10A,LA63N 3P 10A 6kA,LS (standard),MCB,LA63N,3,10,,6,,54,86,69,18,406000
LA63N 3P 16A,LA63N 3P 16A 6kA,LS (standard),MCB,LA63N,3,16,,6,,54,86,69,18,406000
LA63N 3P 20A,LA63N 3P 20A 6kA,LS (standard),MCB,LA63N,3,20,,6,,54,86,69,18,406000
